UID,age,answers,email,screenHeight,screenWidth,sex,userFeedback,version,correctAns,score,dropped
db72e0c9-717f-48e9-ad51-8a78eceb98bc,19,"[7,9,6,8,10,8,5,5,8,7,7,8,9,5,6,6,7,10,6,10,6,10,5,3,8,4,2,7,7,9,4,10,8,8,7,9,8,8,1,8,9,5,6,7,10,8,8,5,9,10,4,5,8,8,3,7,4,10,9,6]",'-365415322,864,1536,male,,1,"[1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1]",50,
32dceab8-d5fb-4763-9532-dd50e78598c1,50,"[8,3,7,7,9,6,8,8,6,8,4,8,7,8,8,6,7,5,10,8,6,5,5,6,6,2,8,9,5,9,7,5,6,9,1,8,4,6,4,7,7,7,9,10,8,8,10,5,6,9,3,5,10,8,5,9,10,4,7,9]",1282626328,864,1536,male,,3,"[0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0]",46,
e028af94-b9f2-449d-8268-992496c71564,18,"[7,9,6,7,10,9,5,5,8,7,9,9,9,5,6,6,7,10,6,10,6,10,5,3,8,4,2,6,7,9,4,10,8,7,7,9,8,8,1,8,9,5,6,7,8,8,8,5,9,10,4,6,8,10,3,7,4,10,10,6]",'-699071941,960,1536,male,,1,"[1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",59,
91671f0c-acfd-4d4e-b42b-fb48a0e93aeb,46,"[6,4,6,7,7,7,4,9,8,9,8,8,8,8,10,10,7,7,10,10,10,5,4,8,8,6,9,9,7,5,5,3,4,1,8,7,10,7,8,5,9,5,7,10,3,5,9,10,10,9,7,6,2,6,5,6,10,6,5,9]",'-459063666,1080,1920,female,,2,"[1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0]",47,
41d8b619-475b-4f36-b531-f413bd489067,18,"[10,3,7,7,9,6,8,8,6,10,4,10,7,8,9,8,7,5,10,9,6,5,7,6,8,2,9,9,7,10,7,5,5,9,1,9,4,6,4,8,7,7,8,10,9,8,9,5,7,9,3,5,10,7,5,9,10,4,8,10]",'-712673500,1080,1920,male,,3,"[0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1]",36,
f94b2419-589c-401c-bfd9-8c09a0f2cff8,51,"[7,9,6,6,9,10,5,5,8,7,9,9,9,5,6,6,7,10,6,10,6,10,5,3,8,4,2,7,7,9,4,9,8,6,7,9,8,8,1,7,9,6,6,7,8,8,9,5,9,10,4,6,7,9,3,7,4,10,10,6]",478689054,883,412,male,,1,"[1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1]",50,
8ac9e3db-82c9-436c-8884-74882269e126,18,"[6,4,6,7,7,7,4,10,7,9,8,7,7,8,9,10,7,7,10,10,9,6,4,8,9,6,8,8,6,5,5,3,4,1,9,7,10,7,8,5,7,5,6,10,3,5,9,10,8,9,7,6,2,6,5,6,10,6,5,8]",'-699071941,1080,1920,male,,2,"[1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",57,
c4fc1216-1d43-4074-b63f-2fb3347c878f,28,"[6,4,6,6,7,7,4,10,7,7,9,8,7,7,9,10,9,7,10,5,9,8,4,7,8,6,7,4,5,7,6,3,4,1,4,7,10,7,8,5,8,5,6,6,3,4,7,8,9,10,7,6,2,3,5,6,7,4,5,7]",358748619,900,1440,female,"""this was incredibly diffcult """,2,"[1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0]",34,
7892c622-9fe9-467b-ac8e-bfcc0f7ebafc,20,"[5,4,6,7,7,7,4,9,7,9,8,7,8,8,10,9,7,7,7,10,9,6,4,8,7,6,8,8,6,5,5,3,4,1,8,7,9,7,8,5,9,5,6,10,3,5,8,9,8,8,7,6,2,6,5,6,10,6,5,8]",31903907,900,1440,female,,2,"[0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1]",48,
3a3e6787-dea6-4603-a13c-a88768724c1e,18,"[6,4,6,7,7,7,4,10,8,9,8,7,7,8,9,10,7,7,10,10,9,6,4,8,9,6,8,8,7,5,5,3,4,1,8,7,10,7,8,5,7,5,6,10,3,5,9,10,8,9,7,6,2,7,5,6,10,6,5,9]",599976556,900,1440,female,,2,"[1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0]",54,
